slide,section,bullet,kind,claim_id,status,source,citation,characters,delivery,text
7,trends,0,claim,skilltrend-sql,published,5,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=SQL,206,spoken,"Demand for SQL at Google is rising inside job function, 0.3180 to 0.5059 of skilled postings across 5 segments — share of skilled postings, never of all postings; the direction holds in every segment tested"
7,trends,1,claim,skilltrend-looker,published,5,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Looker,398,read from slide,"Demand for Looker at Google is falling inside every one of the 3 job functions tested, while the pooled share across them runs the other way, 0.0920 to 0.1382 of skilled postings — a Simpson's reversal, and the within-function direction is the identified one — share of skilled postings, never of all postings; the pooled figure disagrees with the within-function direction and does not overrule it"
7,trends,2,plain,,,narration,,128,spoken,"Google's volume direction is not identified: four defensible panel treatments disagree on the sign, so no direction is reported."
8,comparison,0,claim,share-google,published_qualified,6,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=google,248,spoken,"Google was losing share of the shared publisher pool between H1 and H2 2023 (log share change -0.182), agreeing in 4 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8"
8,comparison,1,claim,share-nvidia,published_qualified,6,task-06-tables/relative-share-verdict.csv#pooled_log_share_change@company=nvidia,248,spoken,"Nvidia was gaining share of the shared publisher pool between H1 and H2 2023 (log share change 0.347), agreeing in 6 of 6 publishers — share of a fixed publisher pool, not headcount and not absolute volume; unanimity here is floor-dependent, see C8"
8,comparison,2,plain,,,narration,correction_id,149,spoken,"Unanimity across publishers looks like the strongest evidence on this slide and is the weakest: the number of tests moves with the threshold, see C8."
9,forecast,0,claim,forecastable-google,published_qualified,7,task-07-tables/forecastability-gate.csv#signal_share@key=google,189,spoken,"Google's monthly share series carries 73.9% signal, enough to be worth modelling — passing the forecastability gate means the series is not pure noise; it does not mean a forecast is usable"
9,forecast,1,plain,,,narration,,158,spoken,"Every series carries real signal, and no model beat persistence at any horizon. The maximum useful horizon is zero, and the forecast ships marked unsupported."
9,forecast,2,plain,,,narration,,124,spoken,"The collection is easier to predict than any company's demand — which is a statement about the aggregator, not about hiring."
10,similarity,0,claim,pair-google-meta,published,8,"task-08-tables/pair-verdicts.csv#observed@company_a=google,company_b=meta",204,spoken,"Google and Meta have a skill-profile similarity of 0.9174, ranking 1 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score"
10,similarity,1,plain,,,narration,,106,spoken,It is the only robust pair. Most pairs sit in one tier and their ranks are not separated by the bootstrap.
10,similarity,2,plain,,,narration,,138,spoken,"Own-product vocabulary is the largest single lever on these scores, so it is published as a sensitivity and never applied to the headline."
11,insights,0,fact,,,task-09-tables/insight-yield.csv#generated@question=all; task-09-tables/insight-yield.csv#published+published_qualified; task-09-tables/insight-yield.csv#refused@question=all; task-09-tables/insight-yield.csv#yield_pct@question=all,"claims_generated, claims_published, claims_refused, claim_yield_pct",108,spoken,"436 candidate claims were generated from the verdict tables; 120 publish and 316 are refused, a 27.5% yield."
11,insights,1,plain,,,narration,,157,spoken,"Generating them is what makes the yield honest: the denominator is everything this evidence base could be asked to say, not everything the author thought of."
11,insights,2,plain,,,narration,,94,spoken,"Almost every refusal fails on identification, not on phrasing. Rewording does not rescue them."
12,position,0,fact,,,task-09-tables/strategy-position.csv#distinctive_skills; task-09-tables/strategy-position.csv#nearest_score,"distinctive_skills, nearest_score",134,spoken,"Available as a profile: 48 skills separate Google from the other five after false-discovery control, nearest neighbour Meta at 0.9174."
12,position,1,plain,,,narration,,79,spoken,"Position as a level is refused, because a posting count is a syndication count."
12,position,2,plain,,,narration,,94,spoken,"Position as a trajectory is refused, because trajectory similarity did not clear its own null."
13,stack,0,claim,distinct-bigquery,published,6,task-06-tables/skill-distinctiveness-google.csv#diff@skill=BigQuery,253,spoken,"Google asks for BigQuery in 10.5% of its skilled postings against 1.4% across the other five, a difference of 0.0908 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential"
13,stack,1,claim,skillgap-spark-google-databricks,published,6,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Spark,company_a=google,company_b=databricks",241,spoken,"Databricks asks for Spark in a larger share of its skilled postings than Google does, by 0.6655 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference"
13,stack,2,plain,,,narration,,123,spoken,"Own products inflate their own mentions, so a company's stack vocabulary is partly a marketing artefact of its job adverts."
14,refusals,0,refusal,tempting-forecast,refused,9,"task-07-tables/forecast.csv#point_share@key=google,horizon=1",198,spoken,"Not available — “Google's share of the panel is expected to reach 0.2335 in 2024, based on the selected model”. Stopped at the lint gate: forecast (task-07 §8). None; this sentence is not available."
14,refusals,1,refusal,tempting-level,refused,9,task-06-tables/relative-share-by-half.csv#h2_share@company=google,187,spoken,"Not available — “Google posts more jobs than Snowflake, at 0.2403 of the common panel”. Stopped at the lint gate: cross_company_level (task-06 §1.3). None; this sentence is not available."
14,refusals,2,refusal,salary-google-meta-science-research,refused,9,"task-09-tables/salary-pairs-stratified.csv#median_diff@company_a=google,company_b=meta,stratum=Science / Research",308,spoken,"Not available — “In Science / Research roles on via Ladders, Google's median disclosed salary differs from Meta's by -25000”. Stopped at the identification gate: disclosed salaries only, inside one publisher and one job function; disclosure is missing not at random. Do not use for compensation benchmarking."
14,refusals,3,refusal,tempting-country,refused,9,task-05-tables/panel-check-country.csv#share_h2@segment=Singapore,182,spoken,"Not available — “Google is shifting hiring towards Singapore, now 0.1210 of its postings”. Stopped at the lint gate: country_split (task-05 §9). None; this sentence is not available."
14,refusals,4,plain,,,narration,,147,spoken,"There is no sentence here for an investor either. Every investor question is a level, a trajectory, or a forecast, and all three are on this slide."
15,corrections,0,fact,,,docs/corrections.md headings,corrections_total,94,spoken,"9 corrections are on the record, and each one is checked against the committed table it cites."
15,corrections,1,plain,,,narration,,109,spoken,A submitted task is never silently rewritten. The original wording stays and gains a pointer to the register.
15,corrections,2,plain,,,narration,,72,spoken,Almost all of them have one shape: a sentence outran the table under it.
16,quality,0,fact,,,pytest --collect-only over tests/,tests_total,99,spoken,"737 tests, including one for every registered correction, so the prose cannot drift from a rebuild."
16,quality,1,plain,,,narration,,185,spoken,"Core modules import no scipy: the statistics are hand-rolled and cross-checked against scipy in separate validation scripts, so a reviewer can rebuild without matching a solver version."
16,quality,2,plain,,,narration,,141,spoken,This deck is linted too — every figure on a slide resolves to a claim that passed the gates or to a repository fact recomputed at build time.
17,workspace,0,fact,,,members/*/task-*-tables/*.csv; members/*/task-*-figures/*.png; README.md task table,"tables_committed, figures_committed, tasks_total",96,spoken,"138 committed tables and 54 figures across 10 tasks, with row-level data git-ignored throughout."
17,workspace,1,plain,,,narration,,124,spoken,"Shared, company-agnostic code sits in the top-level source folder; each specialist's outputs sit in their own member folder."
17,workspace,2,plain,,,narration,,148,spoken,Three seats are open. The comparison set they inherit was written by one person and is published as an auditable table they are invited to overrule.
18,next,0,plain,,,narration,,91,spoken,"More months, so a within-year trend can become a seasonal one and a forecast can be tested."
18,next,1,plain,,,narration,,76,spoken,"More publishers per month, so the panel stops deciding the volume direction."
18,next,2,plain,,,narration,,111,spoken,"A source that returns full description text, which would wake the idle free-text layer and lift skill coverage."
18,next,3,plain,,,narration,,102,spoken,"And the standing lesson: a handover section is a prediction, not an instruction. Read the brief first."
19,qa,0,plain,,,narration,,91,spoken,"Every likely mentor question, with the answer bound to the committed table that settles it."
19,qa,1,plain,,,narration,,99,spoken,"If a question has no bound answer, the honest answer is that this evidence base does not settle it."
