question_id,backs_slide,question,line,kind,claim_id,status,carries,answer
q-headcount,6,Does this tell you whether the company grew?,0,refusal,tempting-headcount,refused,,"Not available — “Google's headcount grew over 2023, with 0.2403 of the common panel in H2”. Stopped at the lint gate: unmeasured_construct (task-02 scope). None; this sentence is not available."
q-headcount,6,Does this tell you whether the company grew?,1,plain,,,,"The collected schema holds postings, not people. There is no column anywhere in it for the number of employees, so no amount of care with the postings recovers one."
q-product,13,Can you tell what they are about to launch?,0,refusal,tempting-product,refused,,"Not available — “Google's hiring points to a new product, with BigQuery in 0.1051 of its skilled postings”. Stopped at the lint gate: product_launch (task-09 §5). None; this sentence is not available."
q-product,13,Can you tell what they are about to launch?,1,claim,distinct-bigquery,published,,"Google asks for BigQuery in 10.5% of its skilled postings against 1.4% across the other five, a difference of 0.0908 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential"
q-product,13,Can you tell what they are about to launch?,2,plain,,,,A distinctive skill is a distinctive advert. Reading a launch out of it crosses from what was measured to what was never measured.
q-why-shift,7,Why did the job function mix shift?,0,refusal,tempting-strategy,refused,,Not available — “Sales rose to 0.0531 of postings because Google made a deliberate shift towards commercial roles”. Stopped at the lint gate: causal_strategy (task-05 §1). None; this sentence is not available.
q-why-shift,7,Why did the job function mix shift?,1,plain,,,,"The mix change is observed; the intention behind it is not in the data. The honest form is what changed, not why."
q-denominator,5,Why are skill shares out of skilled postings rather than all of them?,0,refusal,tempting-share-of-all,refused,,Not available — “Python appears in 0.6029 share of all postings at Google”. Stopped at the lint gate: bare_share_of_all (task-04 §7). None; this sentence is not available.
q-denominator,5,Why are skill shares out of skilled postings rather than all of them?,1,plain,,,,"Because the description text is truncated, so whether a posting mentions a skill partly measures how much text the source returned."
q-simpsons,15,Has any of your own headlines been wrong?,0,claim,skilltrend-looker,published,,"Demand for Looker at Google is falling inside every one of the 3 job functions tested, while the pooled share across them runs the other way, 0.0920 to 0.1382 of skilled postings — a Simpson's reversal, and the within-function direction is the identified one — share of skilled postings, never of all postings; the pooled figure disagrees with the within-function direction and does not overrule it"
q-simpsons,15,Has any of your own headlines been wrong?,1,fact,,,,"Yes — 10 times, and each one is on the record with the table that overturned it."
q-simpsons,15,Has any of your own headlines been wrong?,2,plain,,,,This one reversed inside every job function while the pooled figure ran the other way. The within-function direction is the identified one.
q-sample,4,Is that enough postings to say anything?,0,fact,,,,"For the focus company, 846 postings across 95 publishers, present in all 12 months."
q-sample,4,Is that enough postings to say anything?,1,plain,,,,"Support is not assumed anywhere: cells below the floor are dropped rather than reported thinly, and the floor and its casualties are both committed."
q-why-rules,5,Why rule-based extraction and not a language model?,0,fact,,,,"Because the source truncates description text, so the free-text layer is validated and idle; the 91 skills come from structured fields and aliases."
q-why-rules,5,Why rule-based extraction and not a language model?,1,plain,,,,"A model trained on truncated text would learn the truncation. The rules at least fail visibly, and any one extraction can be checked by reading it."
q-scraping,3,Did you scrape any of this?,0,plain,,,,"No. Every source is an API on the approved list, and the one obvious scrape for this company was rejected on robots.txt before any collection."
q-scraping,3,Did you scrape any of this?,1,plain,,,,"A key for a further job board sits in the environment file and was never called, because that source never passed the checklist."
q-privacy,3,Is there any personal data in here?,0,plain,,,,No. The privacy check runs every task and fails the build if a committed table gains a column that names a person.
q-privacy,3,Is there any personal data in here?,1,plain,,,,Row-level postings stay out of the repository entirely; what is committed is aggregate.
q-investor,14,What would you tell an investor?,0,plain,,,,"Nothing from this evidence base. Every investor question asks for a level, a trajectory, or a forecast, and all three are refused."
q-investor,14,What would you tell an investor?,1,plain,,,,"That is a finding about the source, not modesty: an aggregator's syndication footprint cannot be read as a company's size or direction."
q-useful,13,So what is any of it actually good for?,0,claim,skillgap-spark-google-databricks,published,,"Databricks asks for Spark in a larger share of its skilled postings than Google does, by 0.6655 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference"
q-useful,13,So what is any of it actually good for?,1,fact,,,,"120 sentences publish out of 436 generated, and the skill-profile ones are where the yield concentrates."
q-useful,13,So what is any of it actually good for?,2,plain,,,,"Skill profiles and stack differences survive; volume, pay, and prediction do not."
q-reproduce,16,Could someone else rebuild this?,0,fact,,,,"Yes — 747 tests, 138 committed tables and 54 figures, and the core modules import no solver library."
q-reproduce,16,Could someone else rebuild this?,1,plain,,,,"The statistics are hand-rolled and cross-checked against a library in separate validation scripts, so a rebuild does not depend on matching a version."
q-next,18,What is the single change that would help most?,0,plain,,,,"More months. Almost every refusal here traces to one year of one source: no seasonality, no backtest worth the name, and a panel thin enough to decide the sign."
q-next,18,What is the single change that would help most?,1,plain,,,,"More publishers per month is second, because it is the panel treatment, not the company, that currently determines the volume direction."
q-team,17,How does this fit with the other three companies?,0,fact,,,,"The comparison set covers 6 companies and 3,605 postings, and the shared code is company-agnostic."
q-team,17,How does this fit with the other three companies?,1,plain,,,,"Three seats are open, so the set was chosen by one person. The matching audit is committed precisely so a new specialist can overturn a row rather than redo the task."
