claim_id,question,status,sentence,falsifier
skillgap-aws-google-microsoft,tech_stack,published,"Microsoft asks for AWS in a larger share of its skilled postings than Google does, by 0.0807 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-databricks-google-microsoft,tech_stack,published,"Microsoft asks for Databricks in a larger share of its skilled postings than Google does, by 0.1359 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-windows-google-microsoft,tech_stack,published,"Microsoft asks for Windows in a larger share of its skilled postings than Google does, by 0.1355 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-spark-google-microsoft,tech_stack,published,"Microsoft asks for Spark in a larger share of its skilled postings than Google does, by 0.2265 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-c-sharp-google-microsoft,tech_stack,published,"Microsoft asks for C# in a larger share of its skilled postings than Google does, by 0.3473 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-azure-google-microsoft,tech_stack,published,"Microsoft asks for Azure in a larger share of its skilled postings than Google does, by 0.6101 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-scikit-learn-google-nvidia,tech_stack,published,"Nvidia asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0546 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-pandas-google-nvidia,tech_stack,published,"Nvidia asks for pandas in a larger share of its skilled postings than Google does, by 0.0709 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-docker-google-nvidia,tech_stack,published,"Nvidia asks for Docker in a larger share of its skilled postings than Google does, by 0.1732 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-pandas-google-snowflake,tech_stack,published,"Snowflake asks for pandas in a larger share of its skilled postings than Google does, by 0.0916 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-sql-google-snowflake,tech_stack,published,"Snowflake asks for SQL in a larger share of its skilled postings than Google does, by 0.1965 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-azure-google-snowflake,tech_stack,published,"Snowflake asks for Azure in a larger share of its skilled postings than Google does, by 0.2923 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-aws-google-snowflake,tech_stack,published,"Snowflake asks for AWS in a larger share of its skilled postings than Google does, by 0.2968 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
skillgap-excel-google-snowflake,tech_stack,published,"Snowflake asks for Excel in a larger share of its skilled postings than Google does, by 0.3270 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",one job function reversing the sign at equal support
distinct-bigquery,tech_stack,published,"Google asks for BigQuery in 10.5% of its skilled postings against 1.4% across the other five, a difference of 0.0908 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-looker,tech_stack,published,"Google asks for Looker in 11.9% of its skilled postings against 2.0% across the other five, a difference of 0.0984 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-nosql,tech_stack,published,"Google asks for NoSQL in 8.0% of its skilled postings against 2.0% across the other five, a difference of 0.0594 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-shell,tech_stack,published,"Google asks for Shell in 2.4% of its skilled postings against 0.8% across the other five, a difference of 0.0153 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-mongodb,tech_stack,published,"Google asks for MongoDB in 3.6% of its skilled postings against 1.4% across the other five, a difference of 0.0221 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-javascript,tech_stack,published,"Google asks for JavaScript in 12.4% of its skilled postings against 4.7% across the other five, a difference of 0.0765 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-sap,tech_stack,published,"Google asks for SAP in 3.2% of its skilled postings against 1.3% across the other five, a difference of 0.0191 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-express,tech_stack,published,"Google asks for Express in 2.5% of its skilled postings against 1.1% across the other five, a difference of 0.0149 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-oracle,tech_stack,published,"Google asks for Oracle in 3.4% of its skilled postings against 1.4% across the other five, a difference of 0.0196 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-go,tech_stack,published,"Google asks for Go in 15.9% of its skilled postings against 7.5% across the other five, a difference of 0.0843 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-tensorflow,tech_stack,published,"Google asks for TensorFlow in 12.0% of its skilled postings against 5.9% across the other five, a difference of 0.0609 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-machine-learning,tech_stack,published,"Google asks for Machine Learning in 10.3% of its skilled postings against 6.5% across the other five, a difference of 0.0385 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-linux,tech_stack,published,"Google asks for Linux in 8.3% of its skilled postings against 5.2% across the other five, a difference of 0.0308 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-r,tech_stack,published,"Google asks for R in 36.3% of its skilled postings against 27.6% across the other five, a difference of 0.0867 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-sql,tech_stack,published,"Google asks for SQL in 43.2% of its skilled postings against 61.2% across the other five, a difference of -0.1797 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-hadoop,tech_stack,published,"Google asks for Hadoop in 9.8% of its skilled postings against 16.2% across the other five, a difference of -0.0639 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-scala,tech_stack,published,"Google asks for Scala in 9.0% of its skilled postings against 15.6% across the other five, a difference of -0.0657 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-tableau,tech_stack,published,"Google asks for Tableau in 5.1% of its skilled postings against 9.0% across the other five, a difference of -0.0389 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-pytorch,tech_stack,published,"Google asks for PyTorch in 3.0% of its skilled postings against 6.8% across the other five, a difference of -0.0373 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-pandas,tech_stack,published,"Google asks for pandas in 2.9% of its skilled postings against 6.7% across the other five, a difference of -0.0378 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-gcp,tech_stack,published,"Google asks for GCP in 4.1% of its skilled postings against 9.5% across the other five, a difference of -0.0546 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-react,tech_stack,published,"Google asks for React in 1.2% of its skilled postings against 3.2% across the other five, a difference of -0.0197 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-numpy,tech_stack,published,"Google asks for NumPy in 1.0% of its skilled postings against 3.0% across the other five, a difference of -0.0202 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-power-bi,tech_stack,published,"Google asks for Power BI in 1.2% of its skilled postings against 4.0% across the other five, a difference of -0.0282 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-redshift,tech_stack,published,"Google asks for Redshift in 0.5% of its skilled postings against 1.9% across the other five, a difference of -0.0139 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-docker,tech_stack,published,"Google asks for Docker in 1.5% of its skilled postings against 5.4% across the other five, a difference of -0.0391 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-kubernetes,tech_stack,published,"Google asks for Kubernetes in 2.0% of its skilled postings against 7.2% across the other five, a difference of -0.0513 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-spark,tech_stack,published,"Google asks for Spark in 6.1% of its skilled postings against 26.8% across the other five, a difference of -0.2066 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-c-sharp,tech_stack,published,"Google asks for C# in 2.4% of its skilled postings against 11.8% across the other five, a difference of -0.0938 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-vmware,tech_stack,published,"Google asks for VMware in 0.2% of its skilled postings against 1.3% across the other five, a difference of -0.0109 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-cassandra,tech_stack,published,"Google asks for Cassandra in 0.3% of its skilled postings against 2.2% across the other five, a difference of -0.0185 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-windows,tech_stack,published,"Google asks for Windows in 0.9% of its skilled postings against 5.6% across the other five, a difference of -0.0472 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-scikit-learn,tech_stack,published,"Google asks for scikit-learn in 1.0% of its skilled postings against 6.6% across the other five, a difference of -0.0560 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-snowflake,tech_stack,published,"Google asks for Snowflake in 2.5% of its skilled postings against 20.1% across the other five, a difference of -0.1760 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-kafka,tech_stack,published,"Google asks for Kafka in 0.7% of its skilled postings against 7.3% across the other five, a difference of -0.0661 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-php,tech_stack,published,"Google asks for PHP in 0.2% of its skilled postings against 2.6% across the other five, a difference of -0.0240 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-node-dot-js,tech_stack,published,"Google asks for Node.js in 0.0% of its skilled postings against 1.0% across the other five, a difference of -0.0101 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-sharepoint,tech_stack,published,"Google asks for SharePoint in 0.0% of its skilled postings against 1.1% across the other five, a difference of -0.0105 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-jira,tech_stack,published,"Google asks for Jira in 0.0% of its skilled postings against 1.1% across the other five, a difference of -0.0105 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-excel,tech_stack,published,"Google asks for Excel in 1.4% of its skilled postings against 20.8% across the other five, a difference of -0.1946 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-postgresql,tech_stack,published,"Google asks for PostgreSQL in 0.0% of its skilled postings against 1.2% across the other five, a difference of -0.0122 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-ggplot2,tech_stack,published,"Google asks for ggplot2 in 0.0% of its skilled postings against 1.5% across the other five, a difference of -0.0147 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-aws,tech_stack,published,"Google asks for AWS in 0.9% of its skilled postings against 16.8% across the other five, a difference of -0.1592 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-dplyr,tech_stack,published,"Google asks for dplyr in 0.0% of its skilled postings against 1.8% across the other five, a difference of -0.0181 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-matplotlib,tech_stack,published,"Google asks for Matplotlib in 0.0% of its skilled postings against 1.9% across the other five, a difference of -0.0194 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-azure,tech_stack,published,"Google asks for Azure in 0.9% of its skilled postings against 27.0% across the other five, a difference of -0.2616 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-git,tech_stack,published,"Google asks for Git in 0.0% of its skilled postings against 4.4% across the other five, a difference of -0.0442 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
distinct-databricks,tech_stack,published,"Google asks for Databricks in 0.0% of its skilled postings against 17.7% across the other five, a difference of -0.1774 — Benjamini-Hochberg controlled across the whole skill vocabulary",the interval on the difference covering zero once the other five are re-weighted to this company's role mix
forecastable-google,future_demand,published_qualified,"Google's monthly share series carries 73.9% signal, enough to be worth modelling — passing the forecastability gate means the series is not pure noise; it does not mean a forecast is usable",a homogeneity test the series fails at 0.05
forecastable-meta,future_demand,published_qualified,"Meta's monthly share series carries 77.3% signal, enough to be worth modelling — passing the forecastability gate means the series is not pure noise; it does not mean a forecast is usable",a homogeneity test the series fails at 0.05
pair-google-meta,position,published,"Google and Meta have a skill-profile similarity of 0.9174, ranking 1 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score",the pair leaving rank 1 under any of the five metrics or either sensitivity
pair-google-nvidia,position,published_qualified,"Google and Nvidia have a skill-profile similarity of 0.7485, ranking 2 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score",the pair leaving rank 2 under any of the five metrics or either sensitivity
salary-coverage-databricks,position,published,"Databricks discloses a salary in 11.18% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
salary-coverage-google,position,published,"Google discloses a salary in 4.02% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
salary-coverage-meta,position,published,"Meta discloses a salary in 13.84% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
salary-coverage-microsoft,position,published,"Microsoft discloses a salary in 2.60% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
salary-coverage-nvidia,position,published,"Nvidia discloses a salary in 4.06% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
salary-coverage-snowflake,position,published,"Snowflake discloses a salary in 4.57% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",a publisher-balanced panel showing the same rate
panel-databricks,hiring_patterns,published,"Databricks's postings arrive through 39 publishers, of which the common panel carries 53.8% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
panel-google,hiring_patterns,published,"Google's postings arrive through 95 publishers, of which the common panel carries 54.1% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
panel-meta,hiring_patterns,published,"Meta's postings arrive through 102 publishers, of which the common panel carries 44.0% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
panel-microsoft,hiring_patterns,published,"Microsoft's postings arrive through 88 publishers, of which the common panel carries 60.9% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
panel-nvidia,hiring_patterns,published,"Nvidia's postings arrive through 43 publishers, of which the common panel carries 67.5% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
panel-snowflake,hiring_patterns,published,"Snowflake's postings arrive through 37 publishers, of which the common panel carries 23.5% — a property of the aggregator, not of the company's recruiting",a direct-API panel showing a different publisher spread
