claim_id,question,family,subject,measures,text,clause,citation,quoted_value,source_task,verdict_source,inherited_verdict,gate_evidence,gate_lint,gate_identification,gate_consistency,status,blocked_by,reason,audience,action,falsifier,depends_on,notes
skilltrend-sql,skill_demand,skill_trend,google:SQL,"share of skilled postings mentioning the skill, stratified by job function","Demand for SQL at Google is rising inside job function, 0.3180 to 0.5059 of skilled postings across 5 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=SQL,0.5059,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=SQL,rising_in_all_segments,True,True,True,True,published,,rising_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-go,skill_demand,skill_trend,google:Go,"share of skilled postings mentioning the skill, stratified by job function","Demand for Go at Google is falling inside job function, 0.2222 to 0.1118 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Go,0.1118,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Go,falling_in_all_segments,True,True,True,True,published,,falling_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-hadoop,skill_demand,skill_trend,google:Hadoop,"share of skilled postings mentioning the skill, stratified by job function","Demand for Hadoop at Google is moving inside job function, 0.1379 to 0.0647 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Hadoop,0.0647,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Hadoop,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-java,skill_demand,skill_trend,google:Java,"share of skilled postings mentioning the skill, stratified by job function","Demand for Java at Google is falling inside job function, 0.2605 to 0.1912 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Java,0.1912,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Java,falling_in_all_segments,True,True,True,True,published,,falling_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-scala,skill_demand,skill_trend,google:Scala,"share of skilled postings mentioning the skill, stratified by job function","Demand for Scala at Google is falling inside job function, 0.1226 to 0.0647 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Scala,0.0647,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Scala,falling_in_all_segments,True,True,True,True,published,,falling_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-nosql,skill_demand,skill_trend,google:NoSQL,"share of skilled postings mentioning the skill, stratified by job function","Demand for NoSQL at Google is moving inside job function, 0.1073 to 0.0559 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=NoSQL,0.0559,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=NoSQL,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-r,skill_demand,skill_trend,google:R,"share of skilled postings mentioning the skill, stratified by job function","Demand for R at Google is rising inside job function, 0.3295 to 0.3794 of skilled postings across 3 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=R,0.3794,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=R,rising_in_all_segments,True,True,True,True,published,,rising_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-c,skill_demand,skill_trend,google:C,"share of skilled postings mentioning the skill, stratified by job function","Demand for C at Google is moving inside job function, 0.0421 to 0.0735 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=C,0.0735,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=C,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-perl,skill_demand,skill_trend,google:Perl,"share of skilled postings mentioning the skill, stratified by job function","Demand for Perl at Google is moving inside job function, 0.0115 to 0.0412 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Perl,0.0412,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Perl,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-gcp,skill_demand,skill_trend,google:GCP,"share of skilled postings mentioning the skill, stratified by job function","Demand for GCP at Google is moving inside job function, 0.0268 to 0.0529 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=GCP,0.0529,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=GCP,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-javascript,skill_demand,skill_trend,google:JavaScript,"share of skilled postings mentioning the skill, stratified by job function","Demand for JavaScript at Google is falling inside job function, 0.1379 to 0.1118 of skilled postings across 2 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=JavaScript,0.1118,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=JavaScript,falling_in_all_segments,True,True,True,True,published,,falling_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-pytorch,skill_demand,skill_trend,google:PyTorch,"share of skilled postings mentioning the skill, stratified by job function","Demand for PyTorch at Google is moving inside job function, 0.0153 to 0.0412 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=PyTorch,0.0412,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=PyTorch,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-sap,skill_demand,skill_trend,google:SAP,"share of skilled postings mentioning the skill, stratified by job function","Demand for SAP at Google is moving inside job function, 0.0460 to 0.0206 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=SAP,0.0206,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=SAP,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-oracle,skill_demand,skill_trend,google:Oracle,"share of skilled postings mentioning the skill, stratified by job function","Demand for Oracle at Google is moving inside job function, 0.0460 to 0.0235 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Oracle,0.0235,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Oracle,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-mongodb,skill_demand,skill_trend,google:MongoDB,"share of skilled postings mentioning the skill, stratified by job function","Demand for MongoDB at Google is moving inside job function, 0.0460 to 0.0265 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=MongoDB,0.0265,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=MongoDB,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-sas,skill_demand,skill_trend,google:SAS,"share of skilled postings mentioning the skill, stratified by job function","Demand for SAS at Google is moving inside job function, 0.0651 to 0.0500 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=SAS,0.05,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=SAS,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-shell,skill_demand,skill_trend,google:Shell,"share of skilled postings mentioning the skill, stratified by job function","Demand for Shell at Google is moving inside job function, 0.0153 to 0.0294 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Shell,0.0294,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Shell,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-machine-learning,skill_demand,skill_trend,google:Machine Learning,"share of skilled postings mentioning the skill, stratified by job function","Demand for Machine Learning at Google is rising inside job function, 0.0958 to 0.1088 of skilled postings across 3 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Machine Learning,0.1088,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=Machine Learning,rising_in_all_segments,True,True,True,True,published,,rising_in_all_segments -> published,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
skilltrend-pandas,skill_demand,skill_trend,google:pandas,"share of skilled postings mentioning the skill, stratified by job function","Demand for pandas at Google is moving inside job function, 0.0230 to 0.0324 of skilled postings across 1 segments","share of skilled postings, never of all postings; the direction holds in every segment tested",task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=pandas,0.0324,05,skill_stratified:task-05-tables/skill-stratified-verdicts.csv#verdict@skill=pandas,insufficient_support,True,True,False,True,refused,identification,insufficient_support -> refused,hr_talent,prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,,
