claim_id,question,status,sentence,action,falsifier,citation
skillgap-python-google-meta,tech_stack,published,"Meta asks for Python in a larger share of its skilled postings than Google does, by 0.2361 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Python,company_a=google,company_b=meta"
skillgap-sql-google-meta,tech_stack,published,"Meta asks for SQL in a larger share of its skilled postings than Google does, by 0.4293 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=SQL,company_a=google,company_b=meta"
skillgap-python-google-microsoft,tech_stack,published,"Google asks for Python in a larger share of its skilled postings than Microsoft does, by 0.1497 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Python,company_a=google,company_b=microsoft"
skillgap-microsoft-outlook-google-microsoft,tech_stack,published,"Microsoft asks for Microsoft Outlook in a larger share of its skilled postings than Google does, by 0.0354 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Microsoft Outlook,company_a=google,company_b=microsoft"
skillgap-docker-google-microsoft,tech_stack,published,"Microsoft asks for Docker in a larger share of its skilled postings than Google does, by 0.0333 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Docker,company_a=google,company_b=microsoft"
skillgap-sql-server-google-microsoft,tech_stack,published,"Microsoft asks for SQL Server in a larger share of its skilled postings than Google does, by 0.0456 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=SQL Server,company_a=google,company_b=microsoft"
skillgap-sharepoint-google-microsoft,tech_stack,published,"Microsoft asks for SharePoint in a larger share of its skilled postings than Google does, by 0.0507 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=SharePoint,company_a=google,company_b=microsoft"
skillgap-kubernetes-google-microsoft,tech_stack,published,"Microsoft asks for Kubernetes in a larger share of its skilled postings than Google does, by 0.0545 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Kubernetes,company_a=google,company_b=microsoft"
skillgap-excel-google-microsoft,tech_stack,published,"Microsoft asks for Excel in a larger share of its skilled postings than Google does, by 0.0654 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Excel,company_a=google,company_b=microsoft"
skillgap-aws-google-microsoft,tech_stack,published,"Microsoft asks for AWS in a larger share of its skilled postings than Google does, by 0.0807 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=AWS,company_a=google,company_b=microsoft"
skillgap-databricks-google-microsoft,tech_stack,published,"Microsoft asks for Databricks in a larger share of its skilled postings than Google does, by 0.1359 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Databricks,company_a=google,company_b=microsoft"
skillgap-windows-google-microsoft,tech_stack,published,"Microsoft asks for Windows in a larger share of its skilled postings than Google does, by 0.1355 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Windows,company_a=google,company_b=microsoft"
skillgap-spark-google-microsoft,tech_stack,published,"Microsoft asks for Spark in a larger share of its skilled postings than Google does, by 0.2265 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Spark,company_a=google,company_b=microsoft"
skillgap-c-sharp-google-microsoft,tech_stack,published,"Microsoft asks for C# in a larger share of its skilled postings than Google does, by 0.3473 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=C#,company_a=google,company_b=microsoft"
skillgap-azure-google-microsoft,tech_stack,published,"Microsoft asks for Azure in a larger share of its skilled postings than Google does, by 0.6101 pooled, holding in 4 of 4 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Azure,company_a=google,company_b=microsoft"
skillgap-scikit-learn-google-nvidia,tech_stack,published,"Nvidia asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0546 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=scikit-learn,company_a=google,company_b=nvidia"
skillgap-pandas-google-nvidia,tech_stack,published,"Nvidia asks for pandas in a larger share of its skilled postings than Google does, by 0.0709 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=pandas,company_a=google,company_b=nvidia"
skillgap-docker-google-nvidia,tech_stack,published,"Nvidia asks for Docker in a larger share of its skilled postings than Google does, by 0.1732 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Docker,company_a=google,company_b=nvidia"
skillgap-pandas-google-snowflake,tech_stack,published,"Snowflake asks for pandas in a larger share of its skilled postings than Google does, by 0.0916 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=pandas,company_a=google,company_b=snowflake"
skillgap-sql-google-snowflake,tech_stack,published,"Snowflake asks for SQL in a larger share of its skilled postings than Google does, by 0.1965 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=SQL,company_a=google,company_b=snowflake"
skillgap-azure-google-snowflake,tech_stack,published,"Snowflake asks for Azure in a larger share of its skilled postings than Google does, by 0.2923 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Azure,company_a=google,company_b=snowflake"
skillgap-aws-google-snowflake,tech_stack,published,"Snowflake asks for AWS in a larger share of its skilled postings than Google does, by 0.2968 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=AWS,company_a=google,company_b=snowflake"
skillgap-excel-google-snowflake,tech_stack,published,"Snowflake asks for Excel in a larger share of its skilled postings than Google does, by 0.3270 pooled, holding in 5 of 5 job functions — share of skilled postings within matched job functions; a stack difference, not a capability difference",read as a stack signal when scoping integrations and competitive positioning,one job function reversing the sign at equal support,"task-06-tables/skill-stratified-verdicts.csv#pooled_diff@skill=Excel,company_a=google,company_b=snowflake"
distinct-bigquery,tech_stack,published,"Google asks for BigQuery in 10.5% of its skilled postings against 1.4% across the other five, a difference of 0.0908 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=BigQuery
distinct-looker,tech_stack,published,"Google asks for Looker in 11.9% of its skilled postings against 2.0% across the other five, a difference of 0.0984 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Looker
distinct-nosql,tech_stack,published,"Google asks for NoSQL in 8.0% of its skilled postings against 2.0% across the other five, a difference of 0.0594 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=NoSQL
distinct-shell,tech_stack,published,"Google asks for Shell in 2.4% of its skilled postings against 0.8% across the other five, a difference of 0.0153 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Shell
distinct-mongodb,tech_stack,published,"Google asks for MongoDB in 3.6% of its skilled postings against 1.4% across the other five, a difference of 0.0221 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=MongoDB
distinct-javascript,tech_stack,published,"Google asks for JavaScript in 12.4% of its skilled postings against 4.7% across the other five, a difference of 0.0765 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=JavaScript
distinct-sap,tech_stack,published,"Google asks for SAP in 3.2% of its skilled postings against 1.3% across the other five, a difference of 0.0191 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=SAP
distinct-express,tech_stack,published,"Google asks for Express in 2.5% of its skilled postings against 1.1% across the other five, a difference of 0.0149 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Express
distinct-oracle,tech_stack,published,"Google asks for Oracle in 3.4% of its skilled postings against 1.4% across the other five, a difference of 0.0196 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Oracle
distinct-go,tech_stack,published,"Google asks for Go in 15.9% of its skilled postings against 7.5% across the other five, a difference of 0.0843 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Go
distinct-tensorflow,tech_stack,published,"Google asks for TensorFlow in 12.0% of its skilled postings against 5.9% across the other five, a difference of 0.0609 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=TensorFlow
distinct-machine-learning,tech_stack,published,"Google asks for Machine Learning in 10.3% of its skilled postings against 6.5% across the other five, a difference of 0.0385 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Machine Learning
distinct-linux,tech_stack,published,"Google asks for Linux in 8.3% of its skilled postings against 5.2% across the other five, a difference of 0.0308 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Linux
distinct-r,tech_stack,published,"Google asks for R in 36.3% of its skilled postings against 27.6% across the other five, a difference of 0.0867 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=R
distinct-sql,tech_stack,published,"Google asks for SQL in 43.2% of its skilled postings against 61.2% across the other five, a difference of -0.1797 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=SQL
distinct-hadoop,tech_stack,published,"Google asks for Hadoop in 9.8% of its skilled postings against 16.2% across the other five, a difference of -0.0639 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Hadoop
distinct-scala,tech_stack,published,"Google asks for Scala in 9.0% of its skilled postings against 15.6% across the other five, a difference of -0.0657 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Scala
distinct-tableau,tech_stack,published,"Google asks for Tableau in 5.1% of its skilled postings against 9.0% across the other five, a difference of -0.0389 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Tableau
distinct-pytorch,tech_stack,published,"Google asks for PyTorch in 3.0% of its skilled postings against 6.8% across the other five, a difference of -0.0373 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=PyTorch
distinct-pandas,tech_stack,published,"Google asks for pandas in 2.9% of its skilled postings against 6.7% across the other five, a difference of -0.0378 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=pandas
distinct-gcp,tech_stack,published,"Google asks for GCP in 4.1% of its skilled postings against 9.5% across the other five, a difference of -0.0546 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=GCP
distinct-react,tech_stack,published,"Google asks for React in 1.2% of its skilled postings against 3.2% across the other five, a difference of -0.0197 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=React
distinct-numpy,tech_stack,published,"Google asks for NumPy in 1.0% of its skilled postings against 3.0% across the other five, a difference of -0.0202 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=NumPy
distinct-power-bi,tech_stack,published,"Google asks for Power BI in 1.2% of its skilled postings against 4.0% across the other five, a difference of -0.0282 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Power BI
distinct-redshift,tech_stack,published,"Google asks for Redshift in 0.5% of its skilled postings against 1.9% across the other five, a difference of -0.0139 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Redshift
distinct-docker,tech_stack,published,"Google asks for Docker in 1.5% of its skilled postings against 5.4% across the other five, a difference of -0.0391 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Docker
distinct-kubernetes,tech_stack,published,"Google asks for Kubernetes in 2.0% of its skilled postings against 7.2% across the other five, a difference of -0.0513 — Benjamini-Hochberg controlled across the whole skill vocabulary; this is the company's own product, so the mention is self-referential",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Kubernetes
distinct-spark,tech_stack,published,"Google asks for Spark in 6.1% of its skilled postings against 26.8% across the other five, a difference of -0.2066 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Spark
distinct-c-sharp,tech_stack,published,"Google asks for C# in 2.4% of its skilled postings against 11.8% across the other five, a difference of -0.0938 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=C#
distinct-vmware,tech_stack,published,"Google asks for VMware in 0.2% of its skilled postings against 1.3% across the other five, a difference of -0.0109 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=VMware
distinct-cassandra,tech_stack,published,"Google asks for Cassandra in 0.3% of its skilled postings against 2.2% across the other five, a difference of -0.0185 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Cassandra
distinct-windows,tech_stack,published,"Google asks for Windows in 0.9% of its skilled postings against 5.6% across the other five, a difference of -0.0472 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Windows
distinct-scikit-learn,tech_stack,published,"Google asks for scikit-learn in 1.0% of its skilled postings against 6.6% across the other five, a difference of -0.0560 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=scikit-learn
distinct-snowflake,tech_stack,published,"Google asks for Snowflake in 2.5% of its skilled postings against 20.1% across the other five, a difference of -0.1760 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Snowflake
distinct-kafka,tech_stack,published,"Google asks for Kafka in 0.7% of its skilled postings against 7.3% across the other five, a difference of -0.0661 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Kafka
distinct-php,tech_stack,published,"Google asks for PHP in 0.2% of its skilled postings against 2.6% across the other five, a difference of -0.0240 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=PHP
distinct-node-dot-js,tech_stack,published,"Google asks for Node.js in 0.0% of its skilled postings against 1.0% across the other five, a difference of -0.0101 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Node.js
distinct-sharepoint,tech_stack,published,"Google asks for SharePoint in 0.0% of its skilled postings against 1.1% across the other five, a difference of -0.0105 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=SharePoint
distinct-jira,tech_stack,published,"Google asks for Jira in 0.0% of its skilled postings against 1.1% across the other five, a difference of -0.0105 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Jira
distinct-excel,tech_stack,published,"Google asks for Excel in 1.4% of its skilled postings against 20.8% across the other five, a difference of -0.1946 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=Excel
distinct-postgresql,tech_stack,published,"Google asks for PostgreSQL in 0.0% of its skilled postings against 1.2% across the other five, a difference of -0.0122 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=PostgreSQL
distinct-ggplot2,tech_stack,published,"Google asks for ggplot2 in 0.0% of its skilled postings against 1.5% across the other five, a difference of -0.0147 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=ggplot2
distinct-aws,tech_stack,published,"Google asks for AWS in 0.9% of its skilled postings against 16.8% across the other five, a difference of -0.1592 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=AWS
distinct-dplyr,tech_stack,published,"Google asks for dplyr in 0.0% of its skilled postings against 1.8% across the other five, a difference of -0.0181 — Benjamini-Hochberg controlled across the whole skill vocabulary",treat as a stack marker when reading this company's job ads competitively,the interval on the difference covering zero once the other five are re-weighted to this company's role mix,task-06-tables/skill-distinctiveness-google.csv#diff@skill=dplyr
