claim_id,question,status,sentence,action,falsifier,citation
skilltrend-java,skill_demand,published,"Demand for Java at Google is falling inside job function, 0.2605 to 0.1912 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Java
skilltrend-scala,skill_demand,published,"Demand for Scala at Google is falling inside job function, 0.1226 to 0.0647 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Scala
skilltrend-r,skill_demand,published,"Demand for R at Google is rising inside job function, 0.3295 to 0.3794 of skilled postings across 3 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=R
skilltrend-javascript,skill_demand,published,"Demand for JavaScript at Google is falling inside job function, 0.1379 to 0.1118 of skilled postings across 2 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=JavaScript
skilltrend-machine-learning,skill_demand,published,"Demand for Machine Learning at Google is rising inside job function, 0.0958 to 0.1088 of skilled postings across 3 segments — share of skilled postings, never of all postings; the direction holds in every segment tested",prioritise the training and sourcing pipeline for this skill,one job function moving the other way with the same support,task-05-tables/skill-stratified-verdicts.csv#pooled_share_h2@skill=Machine Learning
pair-google-meta,position,published,"Google and Meta have a skill-profile similarity of 0.9174, ranking 1 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score",read as the closest talent competitor for compensation and sourcing,the pair leaving rank 1 under any of the five metrics or either sensitivity,"task-08-tables/pair-verdicts.csv#observed@company_a=google,company_b=meta"
pair-google-nvidia,position,published_qualified,"Google and Nvidia have a skill-profile similarity of 0.7485, ranking 2 of 15 pairs — similarity of what the two companies advertise for, not of what they build; the rank is what is identified, not the score","read as the 2nd closest of fifteen pairs; the rank is the finding, not the gap to the pair above",the pair leaving rank 2 under any of the five metrics or either sensitivity,"task-08-tables/pair-verdicts.csv#observed@company_a=google,company_b=nvidia"
salary-coverage-databricks,position,published,"Databricks discloses a salary in 11.18% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=databricks
salary-coverage-google,position,published,"Google discloses a salary in 4.02% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=google
salary-coverage-meta,position,published,"Meta discloses a salary in 13.84% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=meta
salary-coverage-microsoft,position,published,"Microsoft discloses a salary in 2.60% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=microsoft
salary-coverage-nvidia,position,published,"Nvidia discloses a salary in 4.06% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=nvidia
salary-coverage-snowflake,position,published,"Snowflake discloses a salary in 4.57% of its 2023 postings — a property of the publishers this company appears on, not of its pay policy",do not read disclosure rate as pay transparency,a publisher-balanced panel showing the same rate,task-09-tables/salary-disclosure.csv#disclosed_pct@company=snowflake
