claim_id,question,family,subject,text,blocked_by,reason,what_would_lift_it
skilltrend-nosql,skill_demand,skill_trend,google:NoSQL,"Demand for NoSQL at Google is moving inside job function, 0.1073 to 0.0559 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-c,skill_demand,skill_trend,google:C,"Demand for C at Google is moving inside job function, 0.0421 to 0.0735 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-perl,skill_demand,skill_trend,google:Perl,"Demand for Perl at Google is moving inside job function, 0.0115 to 0.0412 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-gcp,skill_demand,skill_trend,google:GCP,"Demand for GCP at Google is moving inside job function, 0.0268 to 0.0529 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-pytorch,skill_demand,skill_trend,google:PyTorch,"Demand for PyTorch at Google is moving inside job function, 0.0153 to 0.0412 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-sap,skill_demand,skill_trend,google:SAP,"Demand for SAP at Google is moving inside job function, 0.0460 to 0.0206 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-oracle,skill_demand,skill_trend,google:Oracle,"Demand for Oracle at Google is moving inside job function, 0.0460 to 0.0235 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-mongodb,skill_demand,skill_trend,google:MongoDB,"Demand for MongoDB at Google is moving inside job function, 0.0460 to 0.0265 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-sas,skill_demand,skill_trend,google:SAS,"Demand for SAS at Google is moving inside job function, 0.0651 to 0.0500 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-shell,skill_demand,skill_trend,google:Shell,"Demand for Shell at Google is moving inside job function, 0.0153 to 0.0294 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-pandas,skill_demand,skill_trend,google:pandas,"Demand for pandas at Google is moving inside job function, 0.0230 to 0.0324 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-spark,skill_demand,skill_trend,google:Spark,"Demand for Spark at Google is moving inside job function, 0.0651 to 0.0559 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skilltrend-c-sharp,skill_demand,skill_trend,google:C#,"Demand for C# at Google is moving inside job function, 0.0268 to 0.0206 of skilled postings across 1 segments",identification,insufficient_support -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-r-google-databricks,tech_stack,skill_gap,google|databricks:R,"Google asks for R in a larger share of its skilled postings than Databricks does, by 0.2093 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-javascript-google-databricks,tech_stack,skill_gap,google|databricks:JavaScript,"Google asks for JavaScript in a larger share of its skilled postings than Databricks does, by 0.1129 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bigquery-google-databricks,tech_stack,skill_gap,google|databricks:BigQuery,"Google asks for BigQuery in a larger share of its skilled postings than Databricks does, by 0.1060 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-tensorflow-google-databricks,tech_stack,skill_gap,google|databricks:TensorFlow,"Google asks for TensorFlow in a larger share of its skilled postings than Databricks does, by 0.1006 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-plus-plus-google-databricks,tech_stack,skill_gap,google|databricks:C++,"Google asks for C++ in a larger share of its skilled postings than Databricks does, by 0.0705 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-linux-google-databricks,tech_stack,skill_gap,google|databricks:Linux,"Google asks for Linux in a larger share of its skilled postings than Databricks does, by 0.0630 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-google-databricks,tech_stack,skill_gap,google|databricks:C,"Google asks for C in a larger share of its skilled postings than Databricks does, by 0.0586 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sas-google-databricks,tech_stack,skill_gap,google|databricks:SAS,"Google asks for SAS in a larger share of its skilled postings than Databricks does, by 0.0581 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-nosql-google-databricks,tech_stack,skill_gap,google|databricks:NoSQL,"Google asks for NoSQL in a larger share of its skilled postings than Databricks does, by 0.0566 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matlab-google-databricks,tech_stack,skill_gap,google|databricks:MATLAB,"Google asks for MATLAB in a larger share of its skilled postings than Databricks does, by 0.0513 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-machine-learning-google-databricks,tech_stack,skill_gap,google|databricks:Machine Learning,"Google asks for Machine Learning in a larger share of its skilled postings than Databricks does, by 0.0479 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-mongodb-google-databricks,tech_stack,skill_gap,google|databricks:MongoDB,"Google asks for MongoDB in a larger share of its skilled postings than Databricks does, by 0.0359 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sap-google-databricks,tech_stack,skill_gap,google|databricks:SAP,"Google asks for SAP in a larger share of its skilled postings than Databricks does, by 0.0308 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-perl-google-databricks,tech_stack,skill_gap,google|databricks:Perl,"Google asks for Perl in a larger share of its skilled postings than Databricks does, by 0.0291 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-express-google-databricks,tech_stack,skill_gap,google|databricks:Express,"Google asks for Express in a larger share of its skilled postings than Databricks does, by 0.0256 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-snowflake-google-databricks,tech_stack,skill_gap,google|databricks:Snowflake,"Google asks for Snowflake in a larger share of its skilled postings than Databricks does, by 0.0256 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-airflow-google-databricks,tech_stack,skill_gap,google|databricks:Airflow,"Google asks for Airflow in a larger share of its skilled postings than Databricks does, by 0.0188 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-microsoft-word-google-databricks,tech_stack,skill_gap,google|databricks:Microsoft Word,"Databricks asks for Microsoft Word in a larger share of its skilled postings than Google does, by 0.0245 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-jenkins-google-databricks,tech_stack,skill_gap,google|databricks:Jenkins,"Databricks asks for Jenkins in a larger share of its skilled postings than Google does, by 0.0283 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kubernetes-google-databricks,tech_stack,skill_gap,google|databricks:Kubernetes,"Databricks asks for Kubernetes in a larger share of its skilled postings than Google does, by 0.0299 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-google-sheets-google-databricks,tech_stack,skill_gap,google|databricks:Google Sheets,"Databricks asks for Google Sheets in a larger share of its skilled postings than Google does, by 0.0478 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-cassandra-google-databricks,tech_stack,skill_gap,google|databricks:Cassandra,"Databricks asks for Cassandra in a larger share of its skilled postings than Google does, by 0.0500 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-pandas-google-databricks,tech_stack,skill_gap,google|databricks:pandas,"Databricks asks for pandas in a larger share of its skilled postings than Google does, by 0.0545 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-scikit-learn-google-databricks,tech_stack,skill_gap,google|databricks:scikit-learn,"Databricks asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0733 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-git-google-databricks,tech_stack,skill_gap,google|databricks:Git,"Databricks asks for Git in a larger share of its skilled postings than Google does, by 0.0712 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sql-google-databricks,tech_stack,skill_gap,google|databricks:SQL,"Databricks asks for SQL in a larger share of its skilled postings than Google does, by 0.1157 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-tableau-google-databricks,tech_stack,skill_gap,google|databricks:Tableau,"Databricks asks for Tableau in a larger share of its skilled postings than Google does, by 0.1450 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-hadoop-google-databricks,tech_stack,skill_gap,google|databricks:Hadoop,"Databricks asks for Hadoop in a larger share of its skilled postings than Google does, by 0.2569 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kafka-google-databricks,tech_stack,skill_gap,google|databricks:Kafka,"Databricks asks for Kafka in a larger share of its skilled postings than Google does, by 0.2602 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-java-google-meta,tech_stack,skill_gap,google|meta:Java,"Google asks for Java in a larger share of its skilled postings than Meta does, by 0.1396 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-go-google-meta,tech_stack,skill_gap,google|meta:Go,"Google asks for Go in a larger share of its skilled postings than Meta does, by 0.1380 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-looker-google-meta,tech_stack,skill_gap,google|meta:Looker,"Google asks for Looker in a larger share of its skilled postings than Meta does, by 0.1103 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-javascript-google-meta,tech_stack,skill_gap,google|meta:JavaScript,"Google asks for JavaScript in a larger share of its skilled postings than Meta does, by 0.1057 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bigquery-google-meta,tech_stack,skill_gap,google|meta:BigQuery,"Google asks for BigQuery in a larger share of its skilled postings than Meta does, by 0.0928 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-tensorflow-google-meta,tech_stack,skill_gap,google|meta:TensorFlow,"Google asks for TensorFlow in a larger share of its skilled postings than Meta does, by 0.0831 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-linux-google-meta,tech_stack,skill_gap,google|meta:Linux,"Google asks for Linux in a larger share of its skilled postings than Meta does, by 0.0754 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-nosql-google-meta,tech_stack,skill_gap,google|meta:NoSQL,"Google asks for NoSQL in a larger share of its skilled postings than Meta does, by 0.0744 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-google-meta,tech_stack,skill_gap,google|meta:C,"Google asks for C in a larger share of its skilled postings than Meta does, by 0.0436 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-gcp-google-meta,tech_stack,skill_gap,google|meta:GCP,"Google asks for GCP in a larger share of its skilled postings than Meta does, by 0.0398 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-mongodb-google-meta,tech_stack,skill_gap,google|meta:MongoDB,"Google asks for MongoDB in a larger share of its skilled postings than Meta does, by 0.0359 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sap-google-meta,tech_stack,skill_gap,google|meta:SAP,"Google asks for SAP in a larger share of its skilled postings than Meta does, by 0.0284 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-oracle-google-meta,tech_stack,skill_gap,google|meta:Oracle,"Google asks for Oracle in a larger share of its skilled postings than Meta does, by 0.0282 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-snowflake-google-meta,tech_stack,skill_gap,google|meta:Snowflake,"Google asks for Snowflake in a larger share of its skilled postings than Meta does, by 0.0244 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kubernetes-google-meta,tech_stack,skill_gap,google|meta:Kubernetes,"Google asks for Kubernetes in a larger share of its skilled postings than Meta does, by 0.0205 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-shell-google-meta,tech_stack,skill_gap,google|meta:Shell,"Google asks for Shell in a larger share of its skilled postings than Meta does, by 0.0168 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-express-google-meta,tech_stack,skill_gap,google|meta:Express,"Google asks for Express in a larger share of its skilled postings than Meta does, by 0.0161 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-graphql-google-meta,tech_stack,skill_gap,google|meta:GraphQL,"Meta asks for GraphQL in a larger share of its skilled postings than Google does, by 0.0131 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-generative-ai-google-meta,tech_stack,skill_gap,google|meta:Generative AI,"Meta asks for Generative AI in a larger share of its skilled postings than Google does, by 0.0167 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-azure-google-meta,tech_stack,skill_gap,google|meta:Azure,"Meta asks for Azure in a larger share of its skilled postings than Google does, by 0.0201 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-seaborn-google-meta,tech_stack,skill_gap,google|meta:Seaborn,"Meta asks for Seaborn in a larger share of its skilled postings than Google does, by 0.0203 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-numpy-google-meta,tech_stack,skill_gap,google|meta:NumPy,"Meta asks for NumPy in a larger share of its skilled postings than Google does, by 0.0254 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-spss-google-meta,tech_stack,skill_gap,google|meta:SPSS,"Meta asks for SPSS in a larger share of its skilled postings than Google does, by 0.0263 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-git-google-meta,tech_stack,skill_gap,google|meta:Git,"Meta asks for Git in a larger share of its skilled postings than Google does, by 0.0335 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-spark-google-meta,tech_stack,skill_gap,google|meta:Spark,"Meta asks for Spark in a larger share of its skilled postings than Google does, by 0.0388 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matplotlib-google-meta,tech_stack,skill_gap,google|meta:Matplotlib,"Meta asks for Matplotlib in a larger share of its skilled postings than Google does, by 0.0406 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-ggplot2-google-meta,tech_stack,skill_gap,google|meta:ggplot2,"Meta asks for ggplot2 in a larger share of its skilled postings than Google does, by 0.0418 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matlab-google-meta,tech_stack,skill_gap,google|meta:MATLAB,"Meta asks for MATLAB in a larger share of its skilled postings than Google does, by 0.0443 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-hadoop-google-meta,tech_stack,skill_gap,google|meta:Hadoop,"Meta asks for Hadoop in a larger share of its skilled postings than Google does, by 0.0466 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sas-google-meta,tech_stack,skill_gap,google|meta:SAS,"Meta asks for SAS in a larger share of its skilled postings than Google does, by 0.0470 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-dplyr-google-meta,tech_stack,skill_gap,google|meta:dplyr,"Meta asks for dplyr in a larger share of its skilled postings than Google does, by 0.0514 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-scikit-learn-google-meta,tech_stack,skill_gap,google|meta:scikit-learn,"Meta asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0577 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-php-google-meta,tech_stack,skill_gap,google|meta:PHP,"Meta asks for PHP in a larger share of its skilled postings than Google does, by 0.0688 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-sharp-google-meta,tech_stack,skill_gap,google|meta:C#,"Meta asks for C# in a larger share of its skilled postings than Google does, by 0.0848 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-r-google-microsoft,tech_stack,skill_gap,google|microsoft:R,"Google asks for R in a larger share of its skilled postings than Microsoft does, by 0.2065 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-looker-google-microsoft,tech_stack,skill_gap,google|microsoft:Looker,"Google asks for Looker in a larger share of its skilled postings than Microsoft does, by 0.1162 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-go-google-microsoft,tech_stack,skill_gap,google|microsoft:Go,"Google asks for Go in a larger share of its skilled postings than Microsoft does, by 0.1140 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bigquery-google-microsoft,tech_stack,skill_gap,google|microsoft:BigQuery,"Google asks for BigQuery in a larger share of its skilled postings than Microsoft does, by 0.1060 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-machine-learning-google-microsoft,tech_stack,skill_gap,google|microsoft:Machine Learning,"Google asks for Machine Learning in a larger share of its skilled postings than Microsoft does, by 0.0860 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-nosql-google-microsoft,tech_stack,skill_gap,google|microsoft:NoSQL,"Google asks for NoSQL in a larger share of its skilled postings than Microsoft does, by 0.0479 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-tensorflow-google-microsoft,tech_stack,skill_gap,google|microsoft:TensorFlow,"Google asks for TensorFlow in a larger share of its skilled postings than Microsoft does, by 0.0443 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-linux-google-microsoft,tech_stack,skill_gap,google|microsoft:Linux,"Google asks for Linux in a larger share of its skilled postings than Microsoft does, by 0.0331 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-angular-google-microsoft,tech_stack,skill_gap,google|microsoft:Angular,"Microsoft asks for Angular in a larger share of its skilled postings than Google does, by 0.0172 pooled, holding in 1 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-github-google-microsoft,tech_stack,skill_gap,google|microsoft:GitHub,"Microsoft asks for GitHub in a larger share of its skilled postings than Google does, by 0.0134 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-mysql-google-microsoft,tech_stack,skill_gap,google|microsoft:MySQL,"Microsoft asks for MySQL in a larger share of its skilled postings than Google does, by 0.0178 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-scikit-learn-google-microsoft,tech_stack,skill_gap,google|microsoft:scikit-learn,"Microsoft asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0216 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-powerpoint-google-microsoft,tech_stack,skill_gap,google|microsoft:PowerPoint,"Microsoft asks for PowerPoint in a larger share of its skilled postings than Google does, by 0.0203 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-ruby-google-microsoft,tech_stack,skill_gap,google|microsoft:Ruby,"Microsoft asks for Ruby in a larger share of its skilled postings than Google does, by 0.0206 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-cassandra-google-microsoft,tech_stack,skill_gap,google|microsoft:Cassandra,"Microsoft asks for Cassandra in a larger share of its skilled postings than Google does, by 0.0209 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-git-google-microsoft,tech_stack,skill_gap,google|microsoft:Git,"Microsoft asks for Git in a larger share of its skilled postings than Google does, by 0.0223 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-redis-google-microsoft,tech_stack,skill_gap,google|microsoft:Redis,"Microsoft asks for Redis in a larger share of its skilled postings than Google does, by 0.0247 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
